Date,Open,High,Low,Close,Adj Close,Volume
2021-05-19,1.6E-05,1.6E-05,6E-06,9E-06,9E-06,3271067996
2021-05-20,9E-06,1.2E-05,8E-06,1E-05,1E-05,2507945867
2021-05-21,1E-05,1E-05,7E-06,8E-06,8E-06,1547207565
2021-05-22,8E-06,1E-05,7E-06,8E-06,8E-06,1229821215
2021-05-23,8E-06,1E-05,7E-06,8E-06,8E-06,1585032040
2021-05-24,8E-06,1.2E-05,8E-06,1.1E-05,1.1E-05,2179651359
2021-05-25,1.1E-05,1.1E-05,9E-06,9E-06,9E-06,1415340765
2021-05-26,9E-06,1E-05,9E-06,1E-05,1E-05,994520516
2021-05-27,1E-05,1E-05,9E-06,9E-06,9E-06,679602960
2021-05-28,9E-06,9E-06,8E-06,8E-06,8E-06,690703669
2021-05-29,8E-06,8E-06,7E-06,8E-06,8E-06,502184994
2021-05-30,8E-06,8E-06,8E-06,8E-06,8E-06,440967883
2021-05-31,8E-06,1E-05,8E-06,9E-06,9E-06,910298126
2021-06-01,9E-06,9E-06,8E-06,9E-06,9E-06,795576484
2021-06-02,9E-06,1E-05,9E-06,9E-06,9E-06,1190841704
2021-06-03,9E-06,1E-05,9E-06,1E-05,1E-05,841784028
2021-06-04,1E-05,1E-05,8E-06,9E-06,9E-06,819027578
2021-06-05,9E-06,9E-06,8E-06,8E-06,8E-06,507707187
2021-06-06,8E-06,9E-06,8E-06,9E-06,9E-06,359457882
2021-06-07,9E-06,9E-06,8E-06,8E-06,8E-06,469707680
2021-06-08,8E-06,8E-06,6E-06,7E-06,7E-06,794735555
2021-06-09,7E-06,8E-06,7E-06,7E-06,7E-06,546752922
2021-06-10,7E-06,7E-06,7E-06,7E-06,7E-06,420178357
2021-06-11,7E-06,7E-06,6E-06,6E-06,6E-06,402206125
2021-06-12,6E-06,7E-06,6E-06,6E-06,6E-06,602206703
2021-06-13,6E-06,7E-06,6E-06,7E-06,7E-06,479855598
2021-06-14,7E-06,7E-06,7E-06,7E-06,7E-06,484227038
2021-06-15,7E-06,1E-05,7E-06,7E-06,7E-06,464565251
2021-06-16,9E-06,9E-06,8E-06,8E-06,8E-06,1147441100
2021-06-17,8E-06,8E-06,8E-06,8E-06,8E-06,645884625
2021-06-18,8E-06,8E-06,7E-06,7E-06,7E-06,560685269
2021-06-19,7E-06,8E-06,7E-06,8E-06,8E-06,800211655
2021-06-20,8E-06,8E-06,7E-06,8E-06,8E-06,644943959
2021-06-21,8E-06,8E-06,6E-06,6E-06,6E-06,719083156
2021-06-22,6E-06,7E-06,6E-06,6E-06,6E-06,798815195
2021-06-23,6E-06,7E-06,6E-06,7E-06,7E-06,538227669
2021-06-24,7E-06,7E-06,7E-06,7E-06,7E-06,374340895
2021-06-25,7E-06,8E-06,7E-06,7E-06,7E-06,809551822
2021-06-26,7E-06,8E-06,7E-06,7E-06,7E-06,506208122
2021-06-27,7E-06,8E-06,7E-06,8E-06,8E-06,368723897
2021-06-28,8E-06,8E-06,8E-06,8E-06,8E-06,511642751
2021-06-29,8E-06,1E-05,8E-06,9E-06,9E-06,1049937292
2021-06-30,9E-06,9E-06,8E-06,9E-06,9E-06,774601888
2021-07-01,9E-06,9E-06,8E-06,8E-06,8E-06,472303878
2021-07-02,8E-06,8E-06,8E-06,8E-06,8E-06,350380456
2021-07-03,8E-06,9E-06,8E-06,9E-06,9E-06,387155665
2021-07-04,9E-06,9E-06,8E-06,9E-06,9E-06,382389431
2021-07-05,9E-06,9E-06,8E-06,8E-06,8E-06,414501521
2021-07-06,8E-06,9E-06,8E-06,9E-06,9E-06,695333646
2021-07-07,9E-06,9E-06,9E-06,9E-06,9E-06,400230047
2021-07-08,9E-06,9E-06,8E-06,8E-06,8E-06,461821077
2021-07-09,8E-06,8E-06,8E-06,8E-06,8E-06,329969149
2021-07-10,8E-06,8E-06,8E-06,8E-06,8E-06,307713037
2021-07-11,8E-06,8E-06,8E-06,8E-06,8E-06,298920323
2021-07-12,8E-06,8E-06,7E-06,8E-06,8E-06,368432617
2021-07-13,8E-06,8E-06,7E-06,7E-06,7E-06,314206348
2021-07-14,7E-06,8E-06,7E-06,7E-06,7E-06,395606690
2021-07-15,7E-06,7E-06,7E-06,7E-06,7E-06,324530088
2021-07-16,7E-06,7E-06,7E-06,7E-06,7E-06,271727428
2021-07-17,7E-06,7E-06,7E-06,7E-06,7E-06,268313051
2021-07-18,7E-06,7E-06,7E-06,7E-06,7E-06,248486447
2021-07-19,7E-06,7E-06,6E-06,6E-06,6E-06,300950718
2021-07-20,6E-06,6E-06,6E-06,6E-06,6E-06,319956020
2021-07-21,6E-06,7E-06,6E-06,7E-06,7E-06,426562130
2021-07-22,7E-06,7E-06,6E-06,6E-06,6E-06,280680850
2021-07-23,6E-06,7E-06,6E-06,6E-06,6E-06,287940255
2021-07-24,6E-06,7E-06,6E-06,6E-06,6E-06,306621338
2021-07-25,6E-06,7E-06,6E-06,6E-06,6E-06,254137124
2021-07-26,6E-06,7E-06,6E-06,6E-06,6E-06,498257871
2021-07-27,6E-06,6E-06,6E-06,6E-06,6E-06,255458467
2021-07-28,6E-06,6E-06,6E-06,6E-06,6E-06,226907730
2021-07-29,6E-06,7E-06,6E-06,6E-06,6E-06,242987987
2021-07-30,6E-06,6E-06,6E-06,6E-06,6E-06,230614586
