Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,11.266762,12.386067,11.118653,11.872555,11.872555,1376173841
2021-01-02,11.87341,12.363891,11.520288,12.220137,12.220137,1562557417
2021-01-03,12.223365,13.977096,11.883654,13.650172,13.650172,2298964833
2021-01-04,13.666396,15.575632,12.597854,13.571063,13.571063,2926793268
2021-01-05,13.569752,14.901027,13.174111,14.539868,14.539868,2435517090
2021-01-06,14.550183,17.2239,14.177452,17.155256,17.155256,3654880010
2021-01-07,17.158686,17.3491,15.225082,16.031967,16.031967,2848054681
2021-01-08,16.019024,16.152416,14.263292,15.288085,15.288085,2749568572
2021-01-09,15.279502,17.904873,15.064794,17.607513,17.607513,2622916177
2021-01-10,17.598928,18.445473,15.61517,16.247431,16.247431,3058197027
2021-01-11,16.246437,16.246437,12.568741,14.556933,14.556933,3428738380
2021-01-12,14.550129,15.44045,13.749821,13.915849,13.915849,2198321176
2021-01-13,13.903969,16.207542,13.42817,15.930091,15.930091,2265358357
2021-01-14,15.927358,17.834269,15.425721,17.82625,17.82625,2758638858
2021-01-15,17.866125,21.186707,17.572054,20.709726,20.709726,6831687993
2021-01-16,20.714909,22.687338,19.720041,20.218397,20.218397,5499569396
2021-01-17,20.218687,23.611105,19.463831,23.166773,23.166773,5027606263
2021-01-18,23.200605,23.527412,21.212948,22.036263,22.036263,3602422029
2021-01-19,22.042206,22.803759,20.581797,20.754093,20.754093,3077697742
2021-01-20,20.721283,21.929914,19.190357,21.846777,21.846777,3432961301
2021-01-21,21.848711,21.936092,18.164528,18.424273,18.424273,3407990168
2021-01-22,18.412506,22.426802,17.384539,21.629498,21.629498,4292258678
2021-01-23,21.610153,25.446161,21.249544,24.761532,24.761532,5098945533
2021-01-24,24.77109,24.868954,23.377249,24.701859,24.701859,3727726940
2021-01-25,24.699432,25.654894,22.738539,23.540121,23.540121,3740983054
2021-01-26,23.521814,23.952463,21.771187,23.025864,23.025864,3117612364
2021-01-27,23.033533,23.11282,20.375662,21.070448,21.070448,3092662315
2021-01-28,21.060852,23.758692,20.628141,23.664227,23.664227,3754210031
2021-01-29,23.30299,24.17988,22.114721,22.773443,22.773443,3788470512
2021-01-30,22.773027,23.949341,22.232777,23.594028,23.594028,2685935167
2021-01-31,23.596188,24.531013,22.171732,22.598434,22.598434,2692563296
2021-02-01,22.595957,23.149662,21.70425,22.839642,22.839642,2422414493
2021-02-02,22.839508,24.114853,22.794804,23.713614,23.713614,2604058586
2021-02-03,23.706806,25.440689,23.570482,25.073034,25.073034,3147392512
2021-02-04,25.075766,25.972017,22.988583,24.498962,24.498962,3344787680
2021-02-05,24.5035,26.899294,24.5035,26.363325,26.363325,3936072394
2021-02-06,26.348999,26.722464,24.468388,25.04933,25.04933,3146238667
2021-02-07,25.049219,25.276237,23.085793,24.790121,24.790121,2772921169
2021-02-08,24.781538,25.941032,24.062546,25.456102,25.456102,3063771708
2021-02-09,25.456987,27.896362,25.004366,27.594215,27.594215,3700778076
2021-02-10,27.592094,28.602453,25.690353,26.859596,26.859596,4118325809
2021-02-11,26.857231,28.445801,26.312553,27.874239,27.874239,3098066261
2021-02-12,27.857929,31.381002,26.828281,30.640739,30.640739,4140041014
2021-02-13,30.647442,34.536858,29.293598,34.101978,34.101978,5124433887
2021-02-14,34.122688,35.580502,32.464588,33.290321,33.290321,4767351611
2021-02-15,33.267944,34.817497,28.309467,32.575897,32.575897,4824452129
2021-02-16,32.528564,33.229397,30.966879,31.97348,31.97348,3794728331
2021-02-17,31.975899,32.587833,30.046858,32.256798,32.256798,3072709794
2021-02-18,32.252441,33.533726,31.896072,32.441494,32.441494,1726602703
2021-02-19,32.455124,35.406982,31.578051,34.71521,34.71521,2518517791
2021-02-20,34.711281,36.828461,32.636414,34.109818,34.109818,3095945276
2021-02-21,34.073208,35.23156,33.42799,34.15274,34.15274,1768919688
2021-02-22,34.150097,34.161667,25.663216,31.530806,31.530806,3577738647
2021-02-23,31.522873,31.549831,21.198072,25.800343,25.800343,5101235733
2021-02-24,25.82765,29.178787,24.645512,28.08672,28.08672,3087989666
